position selCoef originGen type freq
1752 0.117024 5971 m2 0.0235
2947 0.0778558 5976 m2 0.002
4283 -0.0590419 5796 m2 0.0765
4852 -0.0316542 5864 m2 0.014
7860 -0.17618 6000 m2 0.0005
8033 0.00363591 5991 m2 0.0025
11310 0.204397 5949 m2 0.009
11685 -0.0317519 5997 m2 0.001
13190 -0.0907923 5990 m2 0.003
18757 -0.149192 5938 m2 0.019
19017 0.068936 5996 m2 0.0015
19535 -0.0242466 2314 m2 0.094
20364 -0.121686 5967 m2 0.0025
20577 0.0809363 3297 m2 0.9775
21002 0.134466 6000 m2 0.0005
21205 -0.176025 5969 m2 0.0195
21584 -0.385713 7 m2 0.331
22813 -0.142682 5964 m2 0.0045
23037 -0.0687217 5673 m2 0.0245
25653 0.0272542 4983 m2 0.0915
25716 -0.068872 5995 m2 0.001
26261 0.0929287 5996 m2 0.0005
28410 -0.0310366 5981 m2 0.0125
28631 0.0457045 5995 m2 0.0015
29722 0.141713 5759 m2 0.098
30875 0.0880053 4926 m2 0.4335
32875 -0.0781761 3590 m2 0.6025
34052 0.0494335 5797 m2 0.0005
34458 0.012428 5825 m2 0.0465
34743 -0.0454433 5999 m2 0.0005
35194 0.0334263 3174 m2 0.0435
37977 0.0189527 4384 m2 0.5195
40715 0.0353932 5048 m2 0.1555
43637 0.176628 5973 m2 0.011
49394 0.072038 5981 m2 0.0105
49896 0.00651732 4657 m2 0.179
102613 -0.0360325 5681 m2 0.037
104385 -0.00251368 5997 m2 0.0005
108413 0.0179521 5992 m2 0.003
111666 0.0932286 5995 m2 0.0005
113342 0.152697 4747 m2 0.0175
114518 0.0345323 5991 m2 0.0015
114520 0.0360702 5989 m2 0.001
115172 -0.0491578 5954 m2 0.006
116291 0.0397703 6000 m2 0.0005
118867 0.0316145 6000 m2 0.0005
119081 0.000763641 5995 m2 0.0015
119250 -0.0926798 5974 m2 0.0055
119704 -0.0803601 5512 m2 0.1785
120786 -0.0591889 5957 m2 0.0095
124685 -0.0175531 5895 m2 0.0105
127099 -0.0285516 5996 m2 0.0005
127878 0.128459 5187 m2 0.1625
129612 0.0441703 6000 m2 0.0005
130702 0.126731 5969 m2 0.004
131618 -0.0207066 4050 m2 0.6455
132921 0.0396828 4732 m2 0.538
133697 -0.0464385 5991 m2 0.004
135464 0.0249792 5999 m2 0.0005
135672 -0.00159929 5990 m2 0.005
136696 -0.0947268 5807 m2 0.058
138637 -0.0169058 4402 m2 0.229
140030 0.124575 5951 m2 0.025
146094 0.021343 5120 m2 0.0725
200513 0.0639513 5821 m2 0.0035
201527 0.0365915 5992 m2 0.005
202237 0.11138 5184 m2 0.115
207493 -0.140429 5588 m2 0.132
207585 0.0418728 5997 m2 0.0025
207692 -0.0348785 5854 m2 0.025
208098 0.141902 5996 m2 0.002
211824 -0.119082 5994 m2 0.0025
212477 -0.0757611 5992 m2 0.008
212837 0.0175978 5870 m2 0.0335
213645 -0.0894635 4110 m2 0.7145
213781 -0.0940153 5993 m2 0.0005
214183 -0.0380901 5849 m2 0.065
215304 -0.166041 5988 m2 0.0015
216732 0.122315 5989 m2 0.002
217567 -0.0587755 4514 m2 0.4095
219322 -0.0673684 5878 m2 0.017
219504 -0.00238099 5662 m2 0.0035
219624 -0.253146 6000 m2 0.0005
219917 0.179597 5863 m2 0.002
223509 -0.0506049 5425 m2 0.0915
225214 0.138592 5348 m2 0.1925
229246 0.075957 5642 m2 0.4145
229606 -0.0776854 3384 m2 0.769
231414 -0.0411283 5999 m2 0.001
232300 -0.109422 5979 m2 0.0055
235883 0.081173 6000 m2 0.0005
236630 0.0707247 3687 m2 0.0065
236740 -0.0938412 5999 m2 0.0005
238536 0.0874233 4883 m2 0.121
238955 -0.113268 5994 m2 0.0025
240055 -0.0572067 5784 m2 0.0905
241454 -0.0593423 5990 m2 0.0005
245112 1.84087e-05 5954 m2 0.001
245540 -0.0618227 2369 m2 0.12
245884 -0.000547954 6000 m2 0.0005
246561 0.039472 5995 m2 0.001
247510 0.0451657 5960 m2 0.0065
248907 -0.0360353 5709 m2 0.0425
249906 -0.070393 5978 m2 0.0045
301879 -0.0171521 5929 m2 0.0215
302839 -0.0709646 5931 m2 0.0095
302960 -0.209296 5999 m2 0.001
303389 0.170412 5998 m2 0.0005
307788 0.038409 5168 m2 0.188
309153 0.0593924 5998 m2 0.001
312303 -0.0518356 5993 m2 0.0025
312462 -0.144523 5998 m2 0.0005
315662 0.0591055 5994 m2 0.0025
315998 -0.0893846 5636 m2 0.108
318321 -0.0448847 5989 m2 0.0005
318377 -0.0469542 4549 m2 0.045
320443 -0.0896923 5399 m2 0.0065
320541 0.0742369 5447 m2 0.0415
320607 0.0157937 5125 m2 0.3335
321386 -0.0522107 5774 m2 0.103
321538 0.149739 5963 m2 0.0325
322214 0.146047 5499 m2 0.04
328308 0.0705147 5966 m2 0.0005
330113 -0.0145851 4570 m2 0.2635
331690 0.0977442 5987 m2 0.0005
332095 0.151058 5987 m2 0.0075
333079 -0.217324 5996 m2 0.0005
336312 -0.114727 5682 m2 0.086
338598 0.123289 5268 m2 0.126
338962 0.0549282 3863 m2 0.8395
339287 0.0667915 5217 m2 0.0805
340178 0.117597 6000 m2 0.0005
344065 -0.14198 5822 m2 0.033
345192 -0.205879 5999 m2 0.0015
345611 0.0158335 5507 m2 0.078
347751 0.0208532 5070 m2 0.291

