position selCoef originGen type freq
3096 0.0668187 5769 m2 0.029
4026 0.0821744 3298 m2 0.732
5755 -0.0248639 5983 m2 0.0025
7007 0.0118764 5851 m2 0.042
7103 -0.182732 6000 m2 0.0005
7492 0.0491914 5746 m2 0.0205
11747 -0.199024 5999 m2 0.001
13353 0.0171028 5856 m2 0.0055
13790 0.104591 5258 m2 0.3405
16003 0.0431901 4891 m2 0.0755
17187 -0.0433532 5981 m2 0.001
17534 0.0997668 5967 m2 0.0365
19098 0.0449011 5850 m2 0.0155
19587 0.0868327 5962 m2 0.0015
20870 0.030697 5967 m2 0.0055
21924 0.168216 5151 m2 0.0515
25146 0.0369299 5807 m2 0.1005
25772 0.0443142 5711 m2 0.0305
25972 -0.24512 5982 m2 0.003
25994 0.0488553 5999 m2 0.001
27797 0.171477 3065 m2 0.2265
29424 -0.215079 5855 m2 0.0075
30921 -0.113379 5989 m2 0.002
31805 0.0453515 5198 m2 0.0435
31964 0.0784897 5994 m2 0.002
32915 -0.14153 5803 m2 0.072
36750 0.178273 5943 m2 0.0225
38494 -0.0545935 4479 m2 0.5325
39042 0.00515465 5761 m2 0.054
39353 0.0325456 5987 m2 0.002
40574 0.0193122 5224 m2 0.164
42922 0.0331098 2169 m2 0.714
43163 0.14807 5739 m2 0.0225
43611 0.0181566 5776 m2 0.027
44948 -0.0144378 3499 m2 0.7185
45032 -0.035277 5987 m2 0.0055
45766 0.253181 2680 m2 0.3495
45804 0.127053 5996 m2 0.0035
46195 0.0757684 5951 m2 0.0175
47096 -0.00892397 5976 m2 0.0015
48410 -0.00484062 4211 m2 0.2645
49175 -0.0981785 5620 m2 0.029
49566 -0.057251 5966 m2 0.006
102822 -0.15808 5971 m2 0.0105
105686 -0.072524 5906 m2 0.021
106156 0.125011 5648 m2 0.118
108500 0.114985 5955 m2 0.0225
109232 -0.150417 5938 m2 0.031
109385 0.0186131 5807 m2 0.011
111439 -0.0773335 5936 m2 0.0025
