position selCoef originGen type freq
192 -0.00456358 4867 m2 0.3885
3138 0.0233494 4724 m2 0.0775
4087 -0.0363428 5865 m2 0.0075
4640 -0.0728122 5996 m2 0.0005
6674 -0.0467538 4588 m2 0.129
7829 -0.138195 5996 m2 0.007
9651 0.0533405 5947 m2 0.014
9798 -0.0188355 5320 m2 0.0925
10574 -0.0736065 5878 m2 0.005
12491 -0.143588 5997 m2 0.001
12997 0.0202657 5017 m2 0.17
13275 0.0731319 4155 m2 0.4
19793 0.0241415 5999 m2 0.0015
19807 0.0222763 5996 m2 0.003
21121 -0.0082905 5966 m2 0.0015
21783 0.0543421 5909 m2 0.001
22917 -0.115832 5921 m2 0.018
23516 -0.0841461 5936 m2 0.029
24442 0.0213927 5989 m2 0.0005
30345 0.0481115 5965 m2 0.0255
31515 -0.157557 5981 m2 0.0015
33631 -0.0405768 5997 m2 0.0005
35264 -0.00730033 3352 m2 0.414
35982 -0.0362404 5993 m2 0.0005
39703 -0.00804062 5990 m2 0.001
40036 0.0261971 5998 m2 0.0005
41034 0.047793 5990 m2 0.0015
41660 0.0862837 5972 m2 0.01
42160 0.10729 5996 m2 0.0015
44917 -0.0767023 5998 m2 0.0005
48155 -0.147036 5951 m2 0.0045
49079 -0.00441575 6000 m2 0.0005
100543 0.0176047 3230 m2 0.2595
101039 -0.0996905 5974 m2 0.006
102002 -0.00516645 5778 m2 0.2105
103211 0.152952 5998 m2 0.0005
106274 -0.0587844 5994 m2 0.0015
106406 -0.0237011 5934 m2 0.0055
107700 -0.0817599 5979 m2 0.002
107831 -0.100622 907 m2 0.077
110570 -0.0625648 3551 m2 0.607
112153 0.0306452 1481 m2 0.695
112724 -0.150772 5973 m2 0.011
113821 0.0363135 1056 m2 0.129
115122 0.0520348 5684 m2 0.27
116101 0.0996217 5500 m2 0.088
116230 0.0969595 5983 m2 0.0085
116460 0.173933 5404 m2 0.3965
117935 -0.0282537 5423 m2 0.2925
118800 -0.00582203 5984 m2 0.0005
119454 0.105756 6000 m2 0.0005
120272 -0.0168661 5914 m2 0.019
120500 -0.0539483 5968 m2 0.0025
121294 0.0360426 4540 m2 0.1
121887 0.105017 1693 m2 0.2255
123341 0.266448 5938 m2 0.0415
127596 0.072806 5994 m2 0.0025
127784 -0.217715 3930 m2 0.454
127886 -0.0906785 5939 m2 0.003
127960 0.0123529 5981 m2 0.0025
129321 -0.183148 6000 m2 0.0005
129767 0.0948988 5998 m2 0.0015
130221 0.0314168 5983 m2 0.0005
132257 -0.023625 5998 m2 0.0015
137031 0.144058 5990 m2 0.0005
139932 -0.0348903 3635 m2 0.7545
140083 -0.0722126 3358 m2 0.5995
140679 -0.0105069 5980 m2 0.003
144778 -0.0112098 5355 m2 0.281
145277 0.0737133 5995 m2 0.0015
146092 -0.0316202 5999 m2 0.0005
146732 -0.0587694 5980 m2 0.0075
147497 -0.0138564 5882 m2 0.0165
147894 -0.0347919 6000 m2 0.0005
148308 0.0748266 5897 m2 0.002
200553 -0.0623867 3893 m2 0.7875
200859 0.004335 6000 m2 0.0005
201734 -0.102076 6000 m2 0.0005
201818 0.0368693 5613 m2 0.013
203521 -0.0195468 4522 m2 0.268
204658 0.020471 5968 m2 0.0205
206555 0.0811373 5798 m2 0.0355
208423 0.0106045 5798 m2 0.029
214219 -0.142017 5991 m2 0.003
215013 -0.0514031 5311 m2 0.375
218643 0.0583324 2162 m2 0.7735
218703 -0.0825674 1962 m2 0.7705
219867 -0.190284 5959 m2 0.0205
220219 -0.0720634 5514 m2 0.0525
220634 0.0337683 5975 m2 0.0005
220699 0.110292 6000 m2 0.0005
220966 -0.201225 6000 m2 0.0005
221423 0.0248397 5723 m2 0.0455
221896 0.0191262 4078 m2 0.754
224714 0.0210066 5775 m2 0.035
224792 -0.0531221 6000 m2 0.0005
226900 -0.0874222 5841 m2 0.0495
227379 0.0587573 5823 m2 0.094
228550 0.0585296 5828 m2 0.004
229479 0.147084 5882 m2 0.0155
230414 -0.0367556 5941 m2 0.011
231585 0.00531034 3559 m2 0.629
232937 -0.0693413 5954 m2 0.014
233540 -0.162099 5972 m2 0.017
234532 0.0355113 3094 m2 0.4035
235944 -0.153117 6000 m2 0.0005
237896 0.00954304 5987 m2 0.004
238582 -0.117557 4642 m2 0.9505
239263 0.0768144 5959 m2 0.0165
239743 0.0656895 5116 m2 0.061
241468 0.0543473 5987 m2 0.018
242401 0.0485488 5416 m2 0.0145
242604 -0.110551 5996 m2 0.0015
245909 -0.0556469 6000 m2 0.0005
248198 -0.0671258 5784 m2 0.109
248624 -0.182262 5102 m2 0.0345
249349 0.264798 53 m2 0.665
300759 -0.101922 5880 m2 0.04
300915 0.120109 4936 m2 0.0185
302753 0.240198 5996 m2 0.002
303030 -0.0281106 5999 m2 0.0005
305052 0.0618232 3064 m2 0.749
306229 -0.0641121 5998 m2 0.002
307240 -0.03861 5973 m2 0.0025
308027 -0.0972882 5984 m2 0.0005
309180 0.120941 5997 m2 0.002
309862 0.048465 5990 m2 0.001
311156 -0.0559078 5576 m2 0.0265
313989 0.0154648 5879 m2 0.0225
314151 -0.0384525 3301 m2 0.9825
316134 -0.0557546 5999 m2 0.003
318175 0.0221715 6000 m2 0.0005
319765 0.0472111 5992 m2 0.0005
319891 -0.265849 5998 m2 0.001
322552 -0.0108357 5869 m2 0.057
327096 -0.119003 4531 m2 0.148
329780 0.0660733 5997 m2 0.0015
337973 0.0377027 5998 m2 0.0005
343424 0.167968 5993 m2 0.0005
344503 -0.0364666 5992 m2 0.001
344986 0.0474562 5076 m2 0.189
345451 -0.0266911 5448 m2 0.2065
349635 -0.0359517 5963 m2 0.002

