position selCoef originGen type freq
7589 0.00406621 5990 m2 0.005
8926 0.00796289 1713 m2 0.6225
12929 0.0494893 5992 m2 0.0035
13053 -0.276726 6000 m2 0.0005
13628 -0.298276 4044 m2 0.728
14602 0.00654554 5880 m2 0.011
21385 0.164133 5554 m2 0.0225
22193 -0.0323987 5706 m2 0.001
22219 0.218736 5695 m2 0.007
24022 0.0432737 5973 m2 0.004
24974 0.0715767 5999 m2 0.0025
25253 0.125586 5993 m2 0.001
25286 0.115696 5997 m2 0.0005
25590 0.141966 5962 m2 0.0105
28900 -0.067827 2325 m2 0.1715
30797 -0.0779942 5998 m2 0.0005
35157 0.126692 5986 m2 0.0015
39226 -0.0149985 5700 m2 0.0275
48192 0.138955 5999 m2 0.0015
100022 -0.128703 5987 m2 0.013
102753 0.049259 5071 m2 0.174
103879 0.0181793 5999 m2 0.0015
104992 0.0518258 6000 m2 0.0005
105047 0.273803 309 m2 0.5845
106678 0.121971 6000 m2 0.0005
109818 -0.0673822 5261 m2 0.837
110240 -0.0950772 5984 m2 0.005
112567 0.0178951 5970 m2 0.004
114671 -0.127591 5999 m2 0.001
119452 0.00639703 5996 m2 0.0045
122242 0.00476219 6000 m2 0.0005
122485 -0.0606698 5996 m2 0.001
130787 -0.0120244 5765 m2 0.052
131597 -0.00449752 6000 m2 0.0005
134573 0.0193291 5958 m2 0.0325
135799 -0.0501247 5980 m2 0.012
137146 0.0124055 5998 m2 0.0005
138063 -0.00741985 527 m2 0.4665
138737 -0.230834 5983 m2 0.002
139651 -0.0703451 5992 m2 0.001
143938 -0.0546679 5962 m2 0.005
144128 0.0875536 5013 m2 0.195
147655 -0.209572 5963 m2 0.0395
201081 0.0151037 5892 m2 0.016
201546 0.00559791 5949 m2 0.015
206211 -0.002513 6000 m2 0.0005
206328 0.0766343 5876 m2 0.0205
206724 0.0257691 5914 m2 0.0035
212086 -0.0149511 4510 m2 0.458
212308 0.0638669 6000 m2 0.0005
214180 0.0438798 6000 m2 0.0005
217609 -0.0935172 5144 m2 0.185
220201 0.131653 4257 m2 0.1105
221488 -0.172543 5986 m2 0.0015
222673 -0.0397097 5993 m2 0.0015
224382 0.00831232 5863 m2 0.0475
226067 0.0614582 5424 m2 0.099
230290 0.272849 5996 m2 0.0025
230411 0.100027 4387 m2 0.6865
230675 -0.20725 4554 m2 0.2485
230925 0.0442258 3333 m2 0.976
231016 -0.179709 6000 m2 0.0005
232514 -0.105871 5997 m2 0.003
239098 0.0461656 3945 m2 0.896
240561 -0.0391804 4236 m2 0.709
241825 -0.0556663 5461 m2 0.001
243238 0.0135816 5895 m2 0.1565
243724 0.146036 5821 m2 0.0005
246040 -0.0329396 1371 m2 0.9095
301464 -0.0126763 5996 m2 0.0005
302133 -0.110551 5999 m2 0.001
302974 -0.15679 5116 m2 0.3185
306105 -0.0693696 5977 m2 0.0125
311208 0.0622024 2120 m2 0.417
312099 0.165295 5794 m2 0.2625
314653 0.0645095 5998 m2 0.0005
315222 0.154416 5993 m2 0.0005
321454 0.0453944 5999 m2 0.001
323655 -0.0223559 5995 m2 0.0065
328626 0.146575 5652 m2 0.1
328884 -0.0357236 6000 m2 0.0005
329092 -0.0276798 4990 m2 0.4975
329221 0.00634238 5999 m2 0.0005
333446 -0.0639105 5976 m2 0.0075
335589 0.14527 5997 m2 0.001
337856 -0.0389296 6000 m2 0.0005
340430 -0.043132 6000 m2 0.0005
349781 -0.128687 5977 m2 0.006

