position selCoef originGen type freq
611 -0.0655877 3232 m2 0.9545
1355 0.156088 5864 m2 0.04
6799 0.0435717 2736 m2 0.146
10398 0.12225 5548 m2 0.129
10990 0.0586833 5648 m2 0.041
12338 -0.126547 5462 m2 0.059
14474 -0.0928483 5825 m2 0.037
15303 -0.0247491 5993 m2 0.006
15748 -0.0253911 5995 m2 0.001
15912 -0.0362715 4605 m2 0.733
17584 0.0738464 5322 m2 0.3495
18105 0.014297 5995 m2 0.001
19074 -0.141469 6000 m2 0.0005
20756 -0.0503232 5969 m2 0.0035
23160 -0.127989 5902 m2 0.0415
23226 0.124184 5983 m2 0.0025
24863 0.0465487 3036 m2 0.129
25331 -0.0968847 5997 m2 0.0005
25991 0.0430592 3810 m2 0.4455
26208 -0.0579425 5578 m2 0.171
27332 -0.04431 5543 m2 0.281
28384 0.0708551 5675 m2 0.096
29117 0.133151 6000 m2 0.0005
29901 -0.0387702 5994 m2 0.0005
31753 -0.0621877 4084 m2 0.7235
32392 0.0657294 4159 m2 0.3275
33294 -0.0392701 5937 m2 0.002
33327 -0.0599835 5748 m2 0.1045
33888 0.0933881 5983 m2 0.0115
35508 -0.0753087 5935 m2 0.013
36241 -0.0653018 6000 m2 0.0005
37268 -0.0524628 6000 m2 0.0005
40557 0.057091 5367 m2 0.011
43025 0.0345969 5994 m2 0.0015
43130 -0.0287721 5259 m2 0.334
44419 0.107922 5993 m2 0.003
45522 0.00298788 5374 m2 0.1245
45694 0.0462257 3703 m2 0.5385
46048 -0.0162549 5668 m2 0.0945
100334 -0.050581 4015 m2 0.8115
101598 0.13119 6000 m2 0.0005
103170 -0.00731327 5985 m2 0.0015
103728 0.178741 5204 m2 0.5395
105371 -0.00401909 5971 m2 0.0125
105774 0.114837 5988 m2 0.0045
105950 -0.0145199 5623 m2 0.2665
107484 -0.000546023 5498 m2 0.001
110490 -0.0861489 5943 m2 0.0155
110732 -0.292373 2 m2 0.4305
110950 -0.0260147 5988 m2 0.0025
111285 -0.0683264 5927 m2 0.017
112438 -0.0357146 5997 m2 0.0035
113287 -0.0441705 5577 m2 0.0115
114999 0.182813 5973 m2 0.007
116380 0.0662375 5738 m2 0.071
117503 -0.0301202 5495 m2 0.117
119601 0.0314874 5994 m2 0.002
120764 -0.0333991 1487 m2 0.0595
120840 -0.00943622 5994 m2 0.0025
121624 0.0165968 5991 m2 0.001
122288 -0.0754576 5989 m2 0.011
122312 0.107233 2416 m2 0.332
123970 -0.11994 5996 m2 0.001
124047 -0.0428311 5984 m2 0.0025
125198 0.0600951 6000 m2 0.0005
126364 0.0570806 5989 m2 0.002
126494 0.0793295 5960 m2 0.005
129521 0.12847 5219 m2 0.1805
131864 0.123649 5990 m2 0.0075
131870 0.0746777 5598 m2 0.0885
131897 -0.0865367 5973 m2 0.001
132429 0.196748 2422 m2 0.015
134380 -0.0038991 5998 m2 0.0005
135846 -0.00292699 5705 m2 0.2405
136196 0.00710317 5969 m2 0.003
137130 0.190911 5983 m2 0.0005
137222 0.0390524 3357 m2 0.233
138924 0.19476 6000 m2 0.0005
139479 -0.0113775 5795 m2 0.0055
139631 -0.00205077 5234 m2 0.0815
141503 -0.035475 5858 m2 0.038
141976 -0.091081 5439 m2 0.026
143574 -0.124972 5976 m2 0.0035
144350 0.0421587 5368 m2 0.0245
144985 -0.0304987 5967 m2 0.001
147292 -0.063378 4528 m2 0.1495
148298 0.0968906 5926 m2 0.009
148672 0.0895769 5991 m2 0.0015
149167 -0.0199701 5904 m2 0.0055
200579 0.0806753 5998 m2 0.001
201801 -0.0838342 3443 m2 0.288
202153 -0.132042 5948 m2 0.0005
202395 -0.00579094 4970 m2 0.548
202411 0.247232 5995 m2 0.0035
204907 0.0377766 5271 m2 0.08
206718 0.130655 5997 m2 0.0055
207260 0.0338321 5984 m2 0.0085
208376 -0.0594605 6000 m2 0.0005
210554 0.0251493 5961 m2 0.003
212368 0.00211024 5995 m2 0.0015
217558 0.0140498 5477 m2 0.6535
219659 -0.0264281 5939 m2 0.0075
220408 -0.133047 5970 m2 0.0165
220584 -0.0205944 5818 m2 0.046
222088 0.0720807 5909 m2 0.0015
222245 0.0701039 5920 m2 0.01
225203 0.00533087 5384 m2 0.287
226654 0.228541 5996 m2 0.001
227124 0.0269704 5997 m2 0.002
227669 -0.079822 5995 m2 0.0005
229549 0.0450149 5623 m2 0.0035
231104 0.0658827 5986 m2 0.003
232419 0.113584 5984 m2 0.0105
233093 0.11845 5995 m2 0.0015
233534 0.192525 5998 m2 0.001
233580 0.0955818 6000 m2 0.0005
234540 -0.0823088 4664 m2 0.258
235216 0.172643 5997 m2 0.0005
239112 0.22649 5988 m2 0.0045
239307 0.0289398 5993 m2 0.002
239717 -0.0965838 6000 m2 0.0005
239992 -0.00727419 5921 m2 0.0365
240294 0.0667704 5865 m2 0.038
241010 0.0405442 5631 m2 0.204
242719 0.0952884 5608 m2 0.04
243291 -0.0946504 5997 m2 0.0035
244314 -0.259825 5995 m2 0.002
244522 0.0127446 5887 m2 0.0215
245168 0.0789234 5999 m2 0.0005
245705 -0.0972059 6000 m2 0.0005
249773 -0.0177788 4977 m2 0.4905
300680 0.0844336 5950 m2 0.007
301069 0.160773 6000 m2 0.0005
301223 -0.0114171 5929 m2 0.0265
302357 -0.153815 5876 m2 0.035
302957 -0.0637101 5965 m2 0.0185
304961 0.173664 5990 m2 0.0035
306565 -0.0501793 5999 m2 0.0005
307753 -0.110008 5857 m2 0.0165
309979 0.0240329 5714 m2 0.0465
310525 0.163666 5798 m2 0.114
312720 -0.0946518 5997 m2 0.0005
312788 0.098028 5623 m2 0.085
313736 0.0147786 5325 m2 0.052
314320 -0.00957521 3720 m2 0.6185
316742 0.036085 5968 m2 0.0105
317613 0.126926 6000 m2 0.0005
319529 -0.16147 5988 m2 0.0015
321424 -0.053975 5998 m2 0.0015
323479 -0.0458223 5998 m2 0.001
325304 0.0638854 5809 m2 0.079
325684 -0.0169843 5916 m2 0.038
326233 0.117996 5988 m2 0.0005
328088 0.15211 5847 m2 0.0045
328460 0.0878257 5569 m2 0.0095
329598 0.00459491 5946 m2 0.002
331498 -0.0455749 5933 m2 0.0035
334862 -0.0536741 5729 m2 0.0205
335829 0.0388988 4299 m2 0.419
336864 0.0358465 5891 m2 0.0215
336993 0.0400971 5324 m2 0.2085
338085 -0.0662351 4355 m2 0.1465
341942 -0.0203905 5720 m2 0.095
342004 -0.0146153 5999 m2 0.001
343264 0.0390624 5998 m2 0.001
344490 0.102943 5827 m2 0.0625
345422 -0.0738959 6000 m2 0.0005
346436 -0.0202958 5923 m2 0.0595
348088 -0.230015 5905 m2 0.0095
349080 0.129516 5890 m2 0.0015
349429 -0.0418641 5077 m2 0.6715
349514 0.0697202 5854 m2 0.0435
349589 0.13769 5171 m2 0.466
349915 -0.0161083 5893 m2 0.033

